strains	pval	-logP
CPF	0.3193	1.1416241792614
CPG	0.7925	0.232562773230701
CPI	0.6051	0.502361545353861
CPK	0.3777	0.973655049263726
CPL	0.2769	1.28409884880522
CPM	0.4683	0.758646162792641
CPN	0.7402	0.300834859030082
CPQ	0.3859	0.952177010438564
CPR	0.7104	0.341927087304177
CPS	0.8652	0.144794584903233
CPT	0.6991	0.357961485464197
CQB	0.877	0.131248286609954
CQD	0.1463	1.92209597095606
CQE	0.0631	2.76303450943497
CQF	0.0558	2.88598140959487
CQG	0.2759	1.2877167977589
CQI	0.7317	0.312384685092153
CQK	0.065	2.7333680090865
CQL	0.5311	0.632804951553784
CQN	0.0791	2.53704240420853
CQP	0.5694	0.5631721041382
CQS	0.8031	0.21927603978772
CQT	0.3289	1.11200152578713
CQV	0.3635	1.01197598200856
CRA	0.7547	0.281434959691314
CRB	0.4765	0.74128755588788
CRC	0.0884	2.42588330933854
CRD	0.8695	0.139836945187799
CRE	0.8685	0.140987693300977
CRG	0.9922	0.00783057911518856
CRH	0.3902	0.941095850793126
CRI	0.4974	0.698360747612833
SACE_GAL	0.4238	0.858493633147938
SACE_GAP	0.3057	1.18515105008535
SACE_GAV	0.0558	2.88598140959487
SACE_MAB	0.4946	0.704005923894821
SACE_YAA	0.789	0.236988958136263
SACE_YAB	0.9293	0.0733236644188434
SACE_YAC	0.2846	1.25667059332639
SACE_YAD	0.4007	0.914542261340038
SACE_YAE	0.9572	0.0437429229479187
SACE_YAF	0.3956	0.92735167923358
SACE_YAG	0.0056	5.18498868124103
SACE_YAK	0.5942	0.52053931595363
SACE_YAL	0.267	1.32050662058189
SACE_YAM	0.5243	0.64569123940365
SACE_YAN	0.7211	0.326977455059423
SACE_YAP	0.0506	2.98380370268872
SACE_YAQ	0.3484	1.05440403400379
SACE_YAR	0.3654	1.00676263503823
SACE_YAT	0.122	2.10373423424888
SACE_YAU	0.9953	0.00471107973011922
SACE_YAV	0.9542	0.0468819859001304
SACE_YAW	0.1396	1.96897408865386
SACE_YAX	0.3761	0.977900213505846
SACE_YBJ	0.5311	0.632804951553784
SACE_YBK	0.949	0.0523464803722092
SACE_YBL	0.8321	0.183802653075753
SACE_YBM	0.9823	0.0178585183013132
SACE_YBQ	0.2028	1.59553500726511
SACE_YBR	0.0506	2.98380370268872
SACE_YBT	0.1516	1.88650980577387
SACE_YBU	0.8382	0.176498543491166
SACE_YBV	0.9357	0.0664603667002698
SACE_YBW	0.5052	0.682800888505801
SACE_YBX	0.0895	2.41351665370133
SACE_YBZ	0.0947	2.3570412787901
SACE_YCB	0.6741	0.394376811122744
SACE_YCC	0.4531	0.791642427309045
SACE_YCD	0.148	1.91054300521802
SACE_YCE	0.7839	0.24347381778746
SACE_YCF	0.5008	0.691548459196248
SACE_YCG	0.3918	0.937003773471697
SACE_YCH	0.2956	1.21874808990809
SACE_YCI	0.2043	1.58816577715856
SACE_YCJ	0.5824	0.540597782099661
SACE_YCL	0.3848	0.955031560190586
SACE_YCN	0.6452	0.438194932731083
SACE_YCQ	0.9848	0.0153167041118933
SACE_YCR	0.7453	0.293968457094489
SACE_YCS	0.5788	0.546798284224808
SACE_YCT	0.8997	0.105693904559064
SACE_YCW	0.1998	1.61043841276768
SACE_YCX	0.538	0.619896718820353
SACE_YCZ	0.3688	0.997500787299698
SACE_YDB	0.6727	0.396455813950577
SACE_YDD	0.6549	0.423272726758129
SACE_YDE	0.2081	1.56973654558255
SACE_YDG	0.1946	1.63680910923023
SACE_YDH	0.5393	0.617483276638956
SACE_YDJ	0.8589	0.152102778209958
SACE_YDK	0.7625	0.27115277050057
SACE_YDL	0.8788	0.129197938471682
SACE_YDM	0.2213	1.50823603192513
SACE_YDN	0.5894	0.528650208678543
SACE_YDO	0.2163	1.53108894602312
